"skill_id","skills","demand_count","avg_salary"
0,"sql","3083","96435"
181,"excel","2143","86419"
1,"python","1840","101512"
182,"tableau","1659","97978"
5,"r","1073","98708"
183,"power bi","1044","92324"
188,"word","527","82941"
196,"powerpoint","524","88316"
7,"sas","500","93707"
186,"sas","500","93707"
61,"sql server","336","96191"
79,"oracle","332","100964"
74,"azure","319","105400"
76,"aws","291","106440"
8,"go","288","97267"
215,"flow","271","98020"
185,"looker","260","103855"
80,"snowflake","241","111578"
199,"spss","212","85293"
92,"spark","187","113002"
22,"vba","185","93845"
189,"sap","183","92446"
198,"outlook","180","80680"
195,"sharepoint","174","89027"
192,"sheets","155","84130"
9,"javascript","153","91805"
233,"jira","145","107931"
97,"hadoop","140","110888"
4,"java","135","100214"
197,"ssrs","129","91537"
201,"alteryx","124","105580"
2,"nosql","108","108331"
75,"databricks","102","112881"
194,"ssis","102","97235"
187,"qlik","100","100933"
190,"spreadsheet","100","78466"
204,"visio","99","101036"
141,"express","96","108221"
93,"pandas","90","110767"
78,"redshift","90","107969"
15,"matlab","89","99909"
26,"c","89","98715"
77,"bigquery","84","105238"
170,"windows","80","86513"
81,"gcp","78","113065"
23,"crystal","76","87327"
184,"dax","75","99549"
210,"git","74","112250"
96,"airflow","71","116387"
56,"mysql","71","101381"
14,"c#","71","97248"
13,"c++","68","105696"
200,"cognos","66","90407"
202,"ms access","65","84873"
234,"confluence","62","114153"
16,"t-sql","60","95723"
3,"scala","59","115480"
216,"github","59","101498"
169,"linux","58","114883"
10,"html","55","84383"
94,"numpy","54","107398"
95,"pyspark","49","114058"
226,"terminal","46","83567"
6,"shell","44","111496"
57,"postgresql","44","106853"
98,"kafka","40","129999"
191,"microstrategy","39","94486"
21,"visual basic","39","86972"
67,"db2","38","107130"
168,"unix","37","111123"
102,"jupyter","37","103522"
105,"gdpr","33","105329"
20,"powershell","32","105041"
108,"matplotlib","31","99307"
11,"css","30","85317"
25,"php","29","109052"
214,"docker","28","99262"
62,"mongodb","26","113608"
18,"mongodb","26","113608"
106,"scikit-learn","26","103932"
213,"kubernetes","26","103089"
112,"plotly","25","106603"
99,"tensorflow","24","120647"
236,"smartsheet","24","71221"
137,"phoenix","23","109259"
104,"spring","22","97454"
211,"jenkins","21","101419"
101,"pytorch","20","125226"
31,"perl","20","124686"
32,"assembly","20","85390"
12,"bash","19","105075"
248,"zoom","19","89791"
110,"react","16","88567"
219,"atlassian","15","117966"
193,"splunk","15","112928"
249,"microsoft teams","15","85570"
247,"slack","15","83442"
235,"planner","15","77039"
58,"neo4j","12","108646"
59,"elasticsearch","12","107816"
136,"angular","12","102103"
120,"seaborn","12","98748"
63,"cassandra","11","118407"
24,"mongo","10","104274"
237,"asana","10","85339"
252,"unify","9","112317"
84,"ibm cloud","8","103313"
142,"flask","8","101863"
115,"ggplot2","8","99416"
220,"gitlab","7","134126"
29,"julia","7","73680"
107,"tidyverse","7","70600"
239,"trello","7","65193"
238,"notion","6","118092"
218,"bitbucket","6","116712"
28,"no-sql","6","107405"
139,"django","6","98544"
232,"airtable","6","90006"
30,"ruby","6","80960"
144,"ruby","6","80960"
83,"aurora","5","113394"
64,"dynamodb","5","111840"
85,"watson","5","108103"
35,"swift","5","107100"
225,"unity","5","99617"
148,"jquery","5","95772"
17,"typescript","5","89323"
151,"drupal","5","88328"
241,"monday.com","5","79000"
42,"vb.net","5","69600"
145,"node.js","4","110230"
39,"rust","4","107925"
55,"redis","4","107044"
70,"sqlite","4","101625"
154,"node","4","97900"
227,"unreal","4","89113"
46,"cobol","4","84745"
221,"chef","4","82825"
229,"npm","4","73419"
253,"wire","4","68375"
176,"macos","4","57933"
119,"dplyr","3","147633"
212,"terraform","3","146734"
100,"keras","3","127013"
149,"asp.net","3","101667"
60,"mariadb","3","96000"
255,"webex","3","92500"
177,"arch","3","86835"
254,"symphony","3","86267"
243,"workfront","3","76820"
37,"dart","3","72674"
116,"graphql","3","57009"
27,"golang","2","155000"
109,"mxnet","2","149000"
250,"twilio","2","138500"
222,"puppet","2","129820"
223,"ansible","2","124370"
121,"hugging face","2","123950"
123,"electron","2","111175"
44,"fortran","2","82500"
47,"sass","2","67699"
224,"svn","1","400000"
38,"solidity","1","179000"
65,"couchbase","1","160515"
206,"datarobot","1","155486"
73,"vmware","1","147500"
125,"cordova","1","113270"
133,"chainer","1","100000"
118,"theano","1","100000"
217,"yarn","1","99150"
45,"pascal","1","92000"
242,"clickup","1","90000"
66,"firebase","1","87500"
82,"firebase","1","87500"
124,"selenium","1","82500"
240,"wrike","1","75000"
51,"erlang","1","72500"
122,"opencv","1","67818"
88,"colocation","1","67500"
138,"vue","1","65000"
153,"ruby on rails","1","51059"
