"skill_id","skills","demand_count","avg_salary"
96,"airflow","71","116387"
3,"scala","59","115480"
169,"linux","58","114883"
234,"confluence","62","114153"
81,"gcp","78","113065"
92,"spark","187","113002"
75,"databricks","102","112881"
210,"git","74","112250"
80,"snowflake","241","111578"
97,"hadoop","140","110888"
93,"pandas","90","110767"
2,"nosql","108","108331"
141,"express","96","108221"
78,"redshift","90","107969"
233,"jira","145","107931"
94,"numpy","54","107398"
76,"aws","291","106440"
13,"c++","68","105696"
201,"alteryx","124","105580"
74,"azure","319","105400"
77,"bigquery","84","105238"
185,"looker","260","103855"
1,"python","1840","101512"
216,"github","59","101498"
56,"mysql","71","101381"
204,"visio","99","101036"
79,"oracle","332","100964"
187,"qlik","100","100933"
4,"java","135","100214"
15,"matlab","89","99909"
184,"dax","75","99549"
26,"c","89","98715"
5,"r","1073","98708"
215,"flow","271","98020"
182,"tableau","1659","97978"
8,"go","288","97267"
14,"c#","71","97248"
194,"ssis","102","97235"
0,"sql","3083","96435"
61,"sql server","336","96191"
16,"t-sql","60","95723"
22,"vba","185","93845"
186,"sas","500","93707"
7,"sas","500","93707"
189,"sap","183","92446"
183,"power bi","1044","92324"
9,"javascript","153","91805"
197,"ssrs","129","91537"
200,"cognos","66","90407"
195,"sharepoint","174","89027"
196,"powerpoint","524","88316"
23,"crystal","76","87327"
170,"windows","80","86513"
181,"excel","2143","86419"
199,"spss","212","85293"
202,"ms access","65","84873"
10,"html","55","84383"
192,"sheets","155","84130"
188,"word","527","82941"
198,"outlook","180","80680"
190,"spreadsheet","100","78466"
